English,English,en,I speak English,general,expedition-chat,agreement-terms,north,south,east,west,Shrine
German,Deutsch,de,Ich spreche Deutsch,allgemein,expeditions-chat,vertragsbedingungen,norden,süden,ost,westen,schrein
French,Français,fr,Je parle français,général,discussion sur l'expédition,conditions de l'accord,nord ,sud,est,ouest,tombeau
Spanish,Español,es,Yo hablo español,general,chat de expedición,términos del acuerdo,norte,sur,este,oeste,santuario
Dutch,Nederlands,nl,Ik spreek Nederlands,algemeen,expeditie-chat,overeenkomstvoorwaarden,noord,zuiden,oosten,west,heiligdom
Portuguese,Português,pt,Eu falo português,em geral,bate-papo da expedição,termos do acordo,norte,sul,leste,oeste,santuário
Romanian,Română,ro,Vorbesc româna,general,chat-ul expediției,termenii acordului,nord,sud,orientul,vest,altar
Hungarian,magyar,hu,Magyarul beszélek,általános,expedíciós csevegés,szerződési feltételek,észak,déli,keleti,nyugat,ereklyetartó
Russian,Русский,ru,Я говорю по-русски,общий,экспедиционный чат,условия соглашения,север ,юг,восток,запад,святилище
Ukrainian,українська,uk,Я розмовляю українською,загальний,експедиційний чат,умови угоди,північ,південь,схід,захід,святиня
Italian,Italiano,it,Io parlo italiano,generale,chat di spedizione,termini dell'accordo,nord,sud,est,ovest,santuario
Danish,Dansk,da,Jeg taler dansk,generel,ekspeditionschat,aftalevilkår,nord,syd,øst,vest,helligdom
Turkish,Türkçe,tr,Türkçe konuşuyorum.,genel,keşif-sohbeti,anlaşma şartları,kuzey ,güney,doğu,batı,tapınak
Czech,čeština,cs,Mluvím česky,generál,expediční chat,smluvní podmínky,sever,jižní,východní,západ,svatyně
Polish,Polski,pl,Mówię po polsku,ogólny,czat ekspedycyjny,warunki umowy,północ ,południe,wschód,zachód,świątynia
Chinese (Simplified),中文（简体）,zh,我会说简体中文。,一般的,探险聊天,协议条款,北 ,南,东方,西方,神社
